date,open,close,high,low,volume,amount,amplitude,code,mid_price,rel_amplitude,mid_upper,mid_lower,price_breakout
2025-04-25,62.03,61.8,62.26,61.61,182935.0,1137920415.0,1.055023535140397,sh603019,61.935,,62.55435,61.315650000000005,False
2025-04-28,61.83,61.91,63.08,61.83,195477.0,1224491386.0,2.021672327349183,sh603019,62.455,2.022653721682848,63.07955,61.83045,False
2025-04-29,61.95,61.98,62.17,61.3,137358.0,853265433.0,1.4192495921696648,sh603019,61.735,1.4052657082862292,62.35235,61.11765,False
2025-04-30,62.04,63.05,63.47,62.04,272132.0,1722438615.0,2.304964539007092,sh603019,62.754999999999995,2.307195869635366,63.382549999999995,62.127449999999996,False
2025-05-06,63.7,64.83,64.85,63.47,309844.0,2000926998.0,2.17425555380494,sh603019,64.16,2.188739095955584,64.8016,63.51839999999999,False
2025-05-07,65.91,64.82,66.03,64.19,304576.0,1984190820.0,2.866490107493384,sh603019,65.11,2.8381921949714695,65.7611,64.4589,False
2025-05-08,64.53,64.9,65.03,64.31,200343.0,1303371877.0,1.1195770486705006,sh603019,64.67,1.1107682813946296,65.3167,64.0233,False
2025-05-09,64.91,64.12,64.92,63.84,150570.0,970907447.0,1.6917293233082678,sh603019,64.38,1.664098613251153,65.0238,63.7362,False
2025-05-12,64.51,64.72,65.11,64.35,194752.0,1264306873.0,1.181041181041189,sh603019,64.72999999999999,1.1852776044915863,65.37729999999999,64.08269999999999,False
2025-05-13,65.18,64.13,65.29,64.09,199931.0,1295334173.0,1.8723669839288544,sh603019,64.69,1.8541409147095222,65.3369,64.0431,False
2025-05-14,64.31,64.52,64.83,64.02,186364.0,1206229431.0,1.2652296157450833,sh603019,64.425,1.2630594105722786,65.06925,63.78075,False
2025-05-15,64.53,63.07,64.54,62.7,205101.0,1304640010.0,2.9346092503987293,sh603019,63.620000000000005,2.8518288902665896,64.2562,62.9838,False
2025-05-16,62.93,62.57,63.28,62.45,171076.0,1077730818.0,1.3290632506004776,sh603019,62.865,1.3159980973521457,63.49365,62.23635,False
2025-05-19,62.68,62.87,62.97,62.29,114303.0,719081432.0,1.091668004495103,sh603019,62.629999999999995,1.086782803260348,63.256299999999996,62.003699999999995,False
2025-05-20,62.91,63.01,63.28,62.54,118770.0,751334497.0,1.1832427246562232,sh603019,62.91,1.1770319707332622,63.5391,62.280899999999995,False
2025-05-21,63.19,62.69,63.19,62.61,106679.0,672254225.0,0.9263695895224378,sh603019,62.9,0.9204888112997909,63.528999999999996,62.271,False
2025-05-22,62.73,62.19,62.93,62.12,110178.0,691230247.0,1.3039278815196431,sh603019,62.525,1.2920721008135305,63.15025,61.89975,False
2025-05-23,62.45,61.9,63.31,61.9,154570.0,964891582.0,2.2778675282714116,sh603019,62.605000000000004,2.2672455378678307,63.23105,61.978950000000005,False
